Order_id,Customer_id,Customer_name,Product_ID,Product_Name,Product_Category,Payment Type,QTY,Price,Datetime,Country,City,ecommerce_website_name,Payment Transaciton ID,Payment Status,Notes
JPN-07042022-fmav-101,101,Helen Jackson,25,Frozen Ham,Consumables,UPI,163,$9780,07-04-2022 11:31,Germany,Berlin,www.jd.com,1653338049727t1kd,Failed,Over limit
NhP0,50,Omar Carter,3,Watermelon,Consumables,Internet Banking,183,$3294,10-04-2022 12:30,Australia,Brisbane,www.jd.com,1653338049669QexA,Success,
US-15042022-XHPT-140,140,Omar Robinson,50,Chili Beans,Consumable,Internet Banking,147,$9555,15-04-2022 09:21,Germany,Hamburg,www.ebay.com,165333804974094J9,Failed,Lost card
DEU-30042022-OGhG-128,128,Joe Jordan,45,Minced Garlic,Consumable,Wallet,161,$3703,30-04-2022 08:18,China,Beijing,www.jd.com,1653338049671bkbo,Success,
AUS-07042022-xnPs-36,36,Dave Doe,17,NULL,Consumables,Wallet,59,$1534,07-04-2022 12:16,Canada,Toronto,www.jd.com,1653338049727EFJt,Failed,Incorrect credit card number
AUS-08042022-22r8-73,73,Omar Kringler,26,Frozen Fish,Consumables,UPI,195,$30420,08-04-2022 10:56,United States,San Diego,www.jd.com,1653338049736fRj3,Success,
DEU-07052022-XDmE-56,56,Shaun Davidson,19,Disposable Styrofoam Cups ,jlA8,card,127,$4445,07-05-2022 13:26,Japan,Kyoto,www.ebay.com,1653338049729EGbL,Success,
DEU-11052022-KxGU-79,79,Joe Doe,25,Frozen Ham,Consumables,Internet Banking,143,$8580,11-05-2022 11:33,Germany,Hamburg,www.amazon.com,1653338049742up8v,1653338049742up8v,
DEU-10042022-H33q-3,3,Omar Smith,2,Crate of Strawberries,Consumables,Internet Banking,4,$432,10-04-2022 08:11,Canada,Vancouver,www.tatacliq.com,1653338049679eSfn,Success,
JPN-18052022-pn3p-59,59,Anna Smith,8,Set of Metal Knives,Utensils,card,19,$950,18-05-2022 09:33,Japan,Tokyo,www.amazon.com,1653338049692YSmG,Success,
JPN-16042022-fdRH-54,54,Michael O'niel,25,Frozen Ham,Consumables,Wallet,134,$8040,16-04-2022 10:57,Germany,Berlin,www.flipKart.com,1653338049708la0J,Success,
US-04042022-zMbW-54,54,Michael O'niel,22,Set of 10 Food Serving Scoops Small,Utensils,Internet Banking,81,$5265,04-04-2022 07:02,Germany,Berlin,www.ebay.com,81,Success,
CAN-21052022-mbuC-12,12,Shaun Carter,41,Sliced Jalapenos in brine ,Consumable,Internet Banking,125,$20125,21-05-2022 13:00,United States,Houston,www.flipKart.com,1653338049746HE78,Failed,Invalid security code
CAN-29042022-tQBI-48,48,Dave Jones,14,Disposable Napkins ,Utensils,UPI,52,$1560,29-04-2022 09:15,Germany,Munich,www.ebay.com,16533380496755qTy,Failed,Expired card
